player_name,player_id,year,xwoba,xba,xslg,xiso,xobp,brl,brl_percent,exit_velocity,hard_hit_percent,k_percent,bb_percent,whiff_percent,sprint_speed,oaa,cluster
Bryan De La Cruz,650559,2023,55.0,79.0,63.0,49.0,43.0,73.0,53.0,60.0,59.0,44.0,24.0,28.0,60,6.0,0
Pete Alonso,624413,2023,91.0,35.0,93.0,97.0,77.0,97.0,91.0,55.0,46.0,42.0,68.0,43.0,18,45.0,1
Matt McLain,680574,2023,58.0,55.0,60.0,60.0,52.0,45.0,70.0,50.0,59.0,16.0,39.0,35.0,90,79.0,7
Francisco Lindor,596019,2023,71.0,51.0,71.0,73.0,70.0,87.0,67.0,79.0,65.0,62.0,64.0,64.0,71,90.0,2
Yandy Díaz,650490,2023,95.0,98.0,82.0,58.0,96.0,77.0,59.0,98.0,97.0,86.0,79.0,86.0,32,8.0,9
Tim Anderson,641313,2023,8.0,44.0,6.0,2.0,13.0,7.0,5.0,20.0,40.0,38.0,7.0,47.0,46,31.0,8
Corey Seager,608369,2023,98.0,99.0,98.0,98.0,95.0,95.0,92.0,96.0,96.0,84.0,58.0,48.0,23,25.0,9
Orlando Arcia,606115,2023,26.0,37.0,34.0,37.0,23.0,45.0,35.0,28.0,52.0,69.0,37.0,55.0,16,88.0,7
Yoán Moncada,660162,2023,35.0,60.0,53.0,47.0,21.0,32.0,64.0,52.0,37.0,12.0,13.0,19.0,28,40.0,8
Jon Berti,542932,2023,46.0,87.0,40.0,16.0,60.0,15.0,14.0,2.0,10.0,74.0,30.0,79.0,95,89.0,6
Brandon Lowe,664040,2023,68.0,20.0,68.0,81.0,59.0,48.0,69.0,83.0,83.0,22.0,84.0,14.0,51,86.0,1
Mike Moustakas,519058,2023,2.0,5.0,10.0,25.0,2.0,15.0,23.0,42.0,31.0,32.0,18.0,39.0,9,19.0,8
Myles Straw,664702,2023,5.0,30.0,1.0,1.0,23.0,1.0,1.0,7.0,2.0,71.0,44.0,98.0,92,89.0,6
Geraldo Perdomo,672695,2023,3.0,1.0,1.0,1.0,38.0,1.0,1.0,3.0,1.0,79.0,91.0,96.0,46,81.0,6
José Abreu,547989,2023,28.0,33.0,37.0,40.0,25.0,67.0,52.0,42.0,53.0,52.0,35.0,42.0,11,12.0,8
Brett Baty,683146,2023,17.0,25.0,24.0,32.0,16.0,25.0,42.0,55.0,69.0,18.0,38.0,16.0,48,15.0,8
LaMonte Wade Jr.,664774,2023,86.0,64.0,68.0,65.0,94.0,58.0,56.0,29.0,43.0,73.0,96.0,74.0,20,13.0,5
Mike Trout,545361,2023,95.0,81.0,92.0,92.0,94.0,62.0,95.0,89.0,95.0,15.0,88.0,26.0,96,85.0,2
James Outman,681546,2023,49.0,17.0,32.0,47.0,67.0,63.0,72.0,22.0,44.0,6.0,86.0,2.0,88,94.0,4
TJ Friedl,670770,2023,11.0,28.0,3.0,2.0,42.0,9.0,7.0,10.0,5.0,85.0,52.0,88.0,73,89.0,6
Josh Naylor,647304,2023,71.0,94.0,79.0,63.0,73.0,61.0,48.0,44.0,53.0,94.0,28.0,79.0,16,88.0,5
Andy Ibáñez,628451,2023,55.0,77.0,61.0,47.0,42.0,42.0,55.0,44.0,61.0,77.0,23.0,65.0,46,82.0,7
Seiya Suzuki,673548,2023,82.0,89.0,77.0,65.0,84.0,77.0,68.0,83.0,84.0,47.0,71.0,72.0,79,77.0,2
Wander Franco,677551,2023,85.0,96.0,81.0,59.0,87.0,50.0,42.0,52.0,61.0,93.0,53.0,96.0,53,97.0,5
Brandon Drury,592273,2023,39.0,51.0,63.0,65.0,17.0,73.0,70.0,60.0,77.0,25.0,5.0,20.0,39,89.0,7
Taylor Ward,621493,2023,65.0,49.0,52.0,54.0,72.0,32.0,48.0,74.0,65.0,65.0,61.0,72.0,65,76.0,7
Jorge Polanco,593871,2023,78.0,49.0,85.0,87.0,62.0,54.0,88.0,33.0,49.0,27.0,76.0,50.0,55,6.0,1
Taylor Walls,670764,2023,7.0,1.0,1.0,7.0,25.0,2.0,8.0,11.0,7.0,24.0,89.0,39.0,73,7.0,3
Jeimer Candelario,600869,2023,39.0,21.0,41.0,52.0,46.0,54.0,44.0,29.0,22.0,51.0,59.0,56.0,53,67.0,7
Marcus Semien,543760,2023,61.0,66.0,53.0,44.0,70.0,68.0,30.0,33.0,26.0,91.0,64.0,90.0,84,98.0,7
Michael Massey,686681,2023,42.0,60.0,56.0,52.0,21.0,42.0,43.0,36.0,41.0,54.0,9.0,66.0,49,83.0,7
Daulton Varsho,662139,2023,21.0,20.0,30.0,42.0,15.0,50.0,38.0,20.0,21.0,40.0,39.0,53.0,69,97.0,7
Jake Cronenworth,630105,2023,23.0,25.0,18.0,20.0,43.0,17.0,12.0,16.0,15.0,72.0,54.0,93.0,74,33.0,6
Maikel Garcia,672580,2023,37.0,79.0,28.0,14.0,54.0,11.0,10.0,87.0,93.0,47.0,37.0,82.0,73,98.0,6
Spencer Torkelson,679529,2023,75.0,47.0,83.0,84.0,59.0,97.0,89.0,87.0,94.0,30.0,67.0,52.0,51,6.0,1
Triston Casas,671213,2023,92.0,47.0,89.0,92.0,86.0,76.0,86.0,77.0,80.0,29.0,93.0,33.0,6,2.0,1
Bo Bichette,666182,2023,85.0,98.0,88.0,67.0,75.0,82.0,60.0,68.0,70.0,69.0,4.0,72.0,42,21.0,2
Mark Canha,592192,2023,44.0,37.0,23.0,22.0,77.0,19.0,14.0,22.0,24.0,87.0,65.0,86.0,63,32.0,5
Jose Siri,642350,2023,18.0,6.0,67.0,85.0,1.0,48.0,87.0,33.0,30.0,1.0,12.0,1.0,98,96.0,4
Jason Heyward,518792,2023,37.0,39.0,38.0,39.0,47.0,30.0,47.0,20.0,28.0,82.0,57.0,74.0,43,92.0,7
Seth Brown,664913,2023,46.0,25.0,69.0,79.0,18.0,54.0,79.0,72.0,79.0,23.0,41.0,17.0,51,17.0,4
Nico Hoerner,663538,2023,30.0,81.0,12.0,4.0,70.0,6.0,2.0,10.0,16.0,96.0,35.0,99.0,80,99.0,6
Cedric Mullins,656775,2023,11.0,12.0,11.0,18.0,16.0,26.0,30.0,40.0,26.0,49.0,61.0,51.0,68,91.0,3
Austin Riley,663586,2023,89.0,81.0,91.0,89.0,75.0,98.0,89.0,93.0,89.0,34.0,47.0,36.0,69,47.0,2
Dansby Swanson,621020,2023,73.0,52.0,72.0,72.0,68.0,84.0,70.0,50.0,42.0,34.0,74.0,28.0,77,100.0,2
Jack Suwinski,669261,2023,75.0,9.0,75.0,90.0,68.0,82.0,94.0,72.0,64.0,5.0,94.0,22.0,81,83.0,1
MJ Melendez,669004,2023,49.0,21.0,53.0,70.0,38.0,81.0,75.0,96.0,91.0,18.0,74.0,7.0,55,2.0,1
Will Brennan,686823,2023,18.0,89.0,19.0,4.0,35.0,4.0,3.0,3.0,7.0,95.0,1.0,88.0,75,80.0,6
Jose Altuve,514888,2023,61.0,41.0,51.0,56.0,70.0,37.0,49.0,5.0,10.0,80.0,78.0,84.0,35,29.0,5
Ezequiel Tovar,678662,2023,11.0,39.0,26.0,25.0,5.0,63.0,47.0,23.0,21.0,23.0,2.0,17.0,70,99.0,3
Paul DeJong,657557,2023,7.0,9.0,15.0,29.0,2.0,19.0,32.0,2.0,15.0,11.0,10.0,5.0,37,94.0,3
Josh Rojas,668942,2023,6.0,16.0,4.0,8.0,9.0,4.0,9.0,14.0,7.0,41.0,39.0,57.0,35,91.0,3
Ryan McMahon,641857,2023,60.0,32.0,66.0,71.0,52.0,77.0,75.0,75.0,68.0,7.0,79.0,13.0,16,93.0,1
Nolan Arenado,571448,2023,44.0,70.0,57.0,49.0,35.0,63.0,38.0,39.0,32.0,84.0,28.0,77.0,6,89.0,7
Carlos Santana,467793,2023,23.0,25.0,22.0,25.0,38.0,54.0,32.0,39.0,22.0,82.0,76.0,68.0,17,78.0,7
Joey Wiemer,686894,2023,14.0,4.0,23.0,46.0,8.0,32.0,56.0,50.0,39.0,17.0,54.0,9.0,89,93.0,4
Akil Baddoo,668731,2023,18.0,7.0,19.0,37.0,30.0,11.0,29.0,25.0,25.0,30.0,84.0,51.0,91,66.0,3
Mauricio Dubón,643289,2023,19.0,84.0,27.0,11.0,25.0,22.0,12.0,14.0,8.0,92.0,1.0,91.0,71,78.0,6
Eddie Rosario,592696,2023,42.0,52.0,61.0,63.0,21.0,63.0,59.0,36.0,19.0,36.0,26.0,23.0,64,80.0,7
Willi Castro,650489,2023,23.0,24.0,17.0,21.0,46.0,22.0,34.0,9.0,12.0,34.0,47.0,35.0,82,78.0,3
Hunter Renfroe,592669,2023,11.0,14.0,17.0,29.0,9.0,32.0,27.0,29.0,39.0,43.0,42.0,42.0,36,12.0,8
Andrew Benintendi,643217,2023,26.0,74.0,19.0,9.0,60.0,11.0,5.0,10.0,4.0,91.0,49.0,83.0,47,2.0,6
Brian Anderson,605119,2023,34.0,17.0,28.0,40.0,38.0,30.0,66.0,19.0,26.0,12.0,70.0,11.0,26,57.0,4
Trea Turner,607208,2023,55.0,71.0,66.0,56.0,46.0,77.0,50.0,60.0,58.0,53.0,24.0,25.0,99,10.0,0
Chas McCormick,676801,2023,71.0,41.0,74.0,79.0,60.0,61.0,72.0,23.0,37.0,28.0,54.0,28.0,72,86.0,7
Corbin Carroll,682998,2023,73.0,77.0,63.0,50.0,80.0,63.0,40.0,63.0,51.0,66.0,54.0,71.0,99,85.0,7
Donovan Solano,456781,2023,75.0,87.0,46.0,28.0,90.0,22.0,27.0,68.0,65.0,49.0,56.0,46.0,10,14.0,5
Gleyber Torres,650402,2023,85.0,87.0,80.0,68.0,83.0,76.0,44.0,58.0,47.0,91.0,70.0,70.0,27,18.0,5
Esteury Ruiz,665923,2023,3.0,24.0,2.0,2.0,12.0,4.0,4.0,1.0,1.0,62.0,2.0,47.0,97,75.0,3
Enrique Hernández,571771,2023,3.0,11.0,6.0,11.0,4.0,19.0,12.0,20.0,17.0,69.0,28.0,60.0,37,1.0,8
Ryan O'Hearn,656811,2023,49.0,66.0,75.0,72.0,17.0,45.0,64.0,89.0,94.0,47.0,2.0,62.0,61,82.0,2
Javier Báez,595879,2023,9.0,26.0,14.0,14.0,6.0,26.0,19.0,23.0,42.0,42.0,3.0,12.0,71,95.0,3
Leody Taveras,665750,2023,42.0,79.0,41.0,25.0,46.0,50.0,38.0,65.0,63.0,56.0,23.0,56.0,92,90.0,7
Max Muncy,571970,2023,88.0,23.0,90.0,95.0,81.0,87.0,90.0,79.0,80.0,24.0,96.0,25.0,37,4.0,1
Jazz Chisholm Jr.,665862,2023,26.0,14.0,56.0,76.0,5.0,50.0,79.0,70.0,56.0,10.0,30.0,4.0,78,87.0,4
Jarren Duran,680776,2023,39.0,71.0,35.0,23.0,48.0,9.0,20.0,60.0,77.0,30.0,26.0,55.0,96,55.0,0
Tony Kemp,643393,2023,16.0,26.0,3.0,3.0,58.0,1.0,1.0,11.0,1.0,100.0,76.0,97.0,20,36.0,6
Luis Arraez,650333,2023,79.0,100.0,70.0,19.0,90.0,25.0,9.0,29.0,3.0,100.0,15.0,100.0,21,1.0,5
Jonathan India,663697,2023,65.0,44.0,47.0,50.0,79.0,45.0,42.0,55.0,33.0,60.0,67.0,68.0,62,8.0,5
Alex Call,669743,2023,16.0,7.0,8.0,14.0,48.0,17.0,20.0,13.0,8.0,77.0,86.0,86.0,87,94.0,6
Alex Verdugo,657077,2023,55.0,85.0,44.0,26.0,70.0,32.0,18.0,49.0,29.0,88.0,38.0,94.0,48,70.0,5
Cody Bellinger,641355,2023,57.0,79.0,61.0,47.0,54.0,42.0,27.0,22.0,10.0,87.0,36.0,77.0,75,88.0,7
Whit Merrifield,593160,2023,4.0,30.0,5.0,4.0,9.0,7.0,3.0,1.0,2.0,81.0,19.0,82.0,85,38.0,6
Nolan Jones,666134,2023,84.0,39.0,87.0,90.0,79.0,70.0,94.0,65.0,53.0,13.0,88.0,14.0,78,13.0,1
Andrew Vaughn,683734,2023,35.0,42.0,50.0,54.0,25.0,68.0,50.0,73.0,79.0,58.0,17.0,57.0,11,8.0,8
Gunnar Henderson,683002,2023,71.0,58.0,77.0,77.0,57.0,85.0,75.0,91.0,95.0,28.0,57.0,42.0,86,57.0,2
Nick Pratto,668472,2023,6.0,2.0,6.0,18.0,7.0,11.0,47.0,18.0,57.0,1.0,49.0,6.0,25,10.0,8
Harrison Bader,664056,2023,15.0,30.0,25.0,28.0,8.0,11.0,20.0,4.0,11.0,81.0,6.0,52.0,85,95.0,3
Luis Robert Jr.,673357,2023,77.0,60.0,92.0,93.0,31.0,92.0,93.0,44.0,58.0,14.0,7.0,10.0,84,98.0,2
Xander Bogaerts,593428,2023,35.0,49.0,32.0,31.0,48.0,54.0,27.0,19.0,18.0,84.0,49.0,75.0,58,82.0,7
Connor Joe,656582,2023,53.0,37.0,35.0,39.0,70.0,40.0,48.0,40.0,56.0,38.0,77.0,60.0,43,77.0,7
Freddie Freeman,518692,2023,98.0,99.0,97.0,90.0,98.0,92.0,72.0,63.0,58.0,83.0,68.0,75.0,34,84.0,9
Kevin Kiermaier,595281,2023,18.0,58.0,11.0,6.0,43.0,6.0,9.0,11.0,15.0,56.0,35.0,20.0,87,98.0,3
Michael A. Taylor,572191,2023,30.0,11.0,65.0,81.0,5.0,58.0,88.0,25.0,32.0,3.0,28.0,9.0,85,95.0,4
Austin Hays,669720,2023,28.0,30.0,46.0,58.0,14.0,63.0,54.0,52.0,46.0,30.0,28.0,31.0,53,46.0,7
Spencer Steer,668715,2023,57.0,44.0,42.0,42.0,72.0,54.0,32.0,37.0,26.0,59.0,72.0,57.0,77,1.0,0
Tommy Edman,669242,2023,28.0,61.0,26.0,16.0,43.0,26.0,18.0,44.0,37.0,86.0,26.0,93.0,88,96.0,6
Ramón Laureano,657656,2023,23.0,19.0,22.0,31.0,31.0,37.0,62.0,28.0,20.0,18.0,46.0,27.0,64,46.0,4
Ronald Acuña Jr.,660670,2023,100.0,100.0,100.0,99.0,100.0,100.0,93.0,100.0,98.0,97.0,80.0,84.0,67,4.0,9
Isaac Paredes,670623,2023,33.0,16.0,16.0,26.0,60.0,32.0,26.0,13.0,6.0,74.0,72.0,88.0,20,57.0,5
Dominic Smith,642086,2023,44.0,56.0,33.0,29.0,57.0,50.0,31.0,7.0,9.0,88.0,42.0,79.0,14,68.0,5
Lourdes Gurriel Jr.,666971,2023,49.0,64.0,63.0,56.0,32.0,70.0,50.0,58.0,77.0,79.0,13.0,84.0,41,63.0,7
Manny Machado,592518,2023,58.0,47.0,72.0,75.0,35.0,85.0,68.0,77.0,75.0,76.0,47.0,59.0,24,97.0,7
Adolis García,666969,2023,89.0,42.0,93.0,96.0,62.0,97.0,96.0,91.0,92.0,20.0,74.0,16.0,49,78.0,1
Michael Harris II,671739,2023,81.0,98.0,84.0,64.0,72.0,77.0,63.0,75.0,86.0,71.0,4.0,54.0,86,93.0,2
Jordan Walker,691023,2023,60.0,75.0,51.0,40.0,66.0,37.0,39.0,52.0,59.0,46.0,42.0,23.0,81,1.0,0
Andrés Giménez,665926,2023,17.0,36.0,21.0,17.0,29.0,40.0,22.0,1.0,4.0,74.0,9.0,48.0,93,100.0,3
Eugenio Suárez,553993,2023,53.0,12.0,50.0,71.0,42.0,89.0,87.0,69.0,61.0,10.0,71.0,11.0,27,97.0,1
Ezequiel Duran,677649,2023,37.0,52.0,54.0,55.0,25.0,40.0,52.0,65.0,65.0,22.0,9.0,29.0,91,22.0,0
Kyle Farmer,571657,2023,32.0,42.0,35.0,35.0,31.0,19.0,32.0,8.0,14.0,38.0,21.0,62.0,31,80.0,7
Ryan Noda,676116,2023,61.0,5.0,29.0,58.0,80.0,58.0,85.0,79.0,71.0,2.0,98.0,2.0,49,20.0,1
Isiah Kiner-Falefa,643396,2023,13.0,44.0,9.0,5.0,34.0,3.0,6.0,39.0,40.0,66.0,41.0,81.0,59,79.0,6
